device_id,name,name_by_user,name_original,manufacturer,model,sw_version,hw_version,via_device_id,identifiers,config_entries,disabled_by
6fb17837921d18270feaac76a8b18386,Kitchen fridge water sensor,,Kitchen fridge water sensor,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:51']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
432fa445b2bb2ca8364c8e2a9a3df7f7,"Laundry room, sink and washer",,"Laundry room, sink and washer",Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:52']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
eb875454e8d1955f189cdf7fff7d26cb,Front door lock,,Front door lock,Hubitat,Generic Z-Wave Lock,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:56']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
f420792fd49aeb822e4cf2c85875f142,Hubitat Elevation,,Hubitat Elevation,Hubitat,,,,,"[['hubitat', '3f7f484d']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
fe0c0206caa87df02741b4742a079d8a,Upstairs zwave repeater plug,,Upstairs zwave repeater plug,Hubitat,Generic Z-Wave Outlet,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:33']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
8045929ff2100a5cf36bc3018d14f552,Downstairs Z wave repeater plug,,Downstairs Z wave repeater plug,Hubitat,Generic Z-Wave Outlet,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:34']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
5821a59f4f156e52d5ca93b2b80e2a8a,2F-FB-C-T,,2F-FB-C-T,Hubitat,Generic Zigbee Temperature/Humidity Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:53']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
8d5b2b8789c35bd1a6cda3a2ee7cd891,1F-KIT-C-T,,1F-KIT-C-T,Hubitat,Generic Zigbee Temperature/Humidity Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:54']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
1b65031d19e4d2cc204696e32acca876,B1-Bguestroom,,B1-Bguestroom,Hubitat,Generic Zigbee Temperature/Humidity Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:55']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
0b355cbad97fff89ce194a68ec87ea7c,Giovani  iphone 16pro,,Giovani  iphone 16pro,Apple,"iPhone17,1",26.1,,,"[['mobile_app', '6C70C9CD-9387-4270-ACF6-E60354B08C8D']]",['01K96CEP5QB8APY8B7NCB0EPJR'],
c765bba0e51a38ac99c7c1b9173bdcf3,My Bridgehigh trail main,,My Bridgehigh trail main,Olibra,zermatt-2,v4.18.1,,,"[['bond', 'ZZIA38003']]",['01K988T6G4A8KAMAYHZQJXXSN6'],
1bc676db400a996f32378e0672f12866,Shades,,Shades,Olibra,RMS53,,,c765bba0e51a38ac99c7c1b9173bdcf3,"[['bond', 'ZZIA38003', 'f130674d3d900f96']]",['01K988T6G4A8KAMAYHZQJXXSN6'],
33413ef38aae0a465b454d3abd79749f,high country kitchen,,high country kitchen,Olibra,RMS53,,,c765bba0e51a38ac99c7c1b9173bdcf3,"[['bond', 'ZZIA38003', '6631e11754d37a3a']]",['01K988T6G4A8KAMAYHZQJXXSN6'],
fdd196cab53ec71d710f3328d5b49f2c,OUT-N-T,,OUT-N-T,Hubitat,SmartThings Multipurpose Sensor V5,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:58']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
ea4f82faf89c776abf21c72b16fce950,upper hall,,upper hall,Sensibo,skyplus,SKY40148,esp32,,"[['sensibo', 'YozS6usf']]",['01K98HPMTFG3B78RPPP9Y7KW94'],
e576dcaacaafa4ec706e9b2cd75f8ca2,Laundry sink water sensor,,Laundry sink water sensor,Hubitat,Generic Zigbee Moisture Sensor (no temp),,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:59']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
79b6fe1823c69d9ee6b8bd7258eea3ab,lariattail,,lariattail,Tailscale Inc.,linux,1.90.6-t0238943bb-g1851f6203,,,"[['tailscale', '2884555219812073']]",['01K93BYEE5DG2T0FG2PFAKRKWB'],config_entry
0fafd078953a3531b9d661b5c32aacf2,File editor,,File editor,Official add-ons,Home Assistant Add-on,5.8.0,,,"[['hassio', 'core_configurator']]",['01K93B37S72HB76ECN0X0TY4YM'],
a4e67fb3ba68c335d2001372ef0051fc,Master broad link pro,,Master broad link pro,Broadlink,RM4 pro,62093,,,"[['broadlink', '348e892df6aa']]",['01KA4YTA5EM7PMGNQ6VRG6HPT1'],
32d41187efbbe8365cc2064f7c81ab45,1F-FR-N-T-fp3001,,1F-FR-N-T-fp3001,Hubitat,Aqara P1 Motion Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:64']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
e34efa9197c941e425c4bc25eaab6e8f,1F-HA-C-Afp3002,,1F-HA-C-Afp3002,Hubitat,Aqara P1 Motion Sensor,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:65']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
3b2ad5d34e31512b91404853d2fc61ec,1F-GR-S-Z,,1F-GR-S-Z,Hubitat,Zooz Q Sensor ZSE11,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:60']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
7e1729c59a0a08f97237da8cb65b395a,2F-H-C-Z,,2F-H-C-Z,Hubitat,Zooz Q Sensor ZSE11,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:61']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
5f50bfa61ac16df53859d5f25a77b9fe,B1-TV-C-Z,,B1-TV-C-Z,Hubitat,Zooz Q Sensor ZSE11,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:62']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
cae1dab455c6049d66a5ad722262b967,2F-MB-C-Z,,2F-MB-C-Z,Hubitat,Zooz Q Sensor ZSE11,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:63']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
805f7e9aee4c9f939fd1294d5626f808,main floor hall,main floor hall,OFFICE 1,Honeywell,,,,,"[['honeywell', 282882]]",['01KA6PEZBF6ZXZPPAQS6CBFPHC'],config_entry
bb392bce8199ddd48e194bf6361f5034,Front door lock:21065,,Front door lock:21065,Home Assistant,Lock,,,,"[['homekit', '01KA6QC17PD81PJJCY3KC523BR', 'homekit.bridge']]",['01KA6QC17PD81PJJCY3KC523BR'],
c63801de1eb75bce345701e126cdbf6d,HASS Bridge:21064,,HASS Bridge:21064,Home Assistant,HomeBridge,,,,"[['homekit', '01KA6QC17P47TJNGCMV3BHM5ED', 'homekit.bridge']]",['01KA6QC17P47TJNGCMV3BHM5ED'],
486a838fd7484854eb412845a908d77f,Piasentin ,,Piasentin ,Tesla,PowerWall 2 (GW2),25.42.1 1d1ff4c6,,,"[['powerwall', '1232100-00-H--GF2220690001PZ']]",['01KA6R529MNWE6V1W97KEEMRVG'],
33b455cb292155802679e179ec169ad8,Piasentin  TG1220250002MN,,Piasentin  TG1220250002MN,Tesla,PowerWall 2 (3012170-30-B),25.42.1 1d1ff4c6,,486a838fd7484854eb412845a908d77f,"[['powerwall', '1232100-00-H--GF2220690001PZ_TG1220250002MN']]",['01KA6R529MNWE6V1W97KEEMRVG'],
3b16c8ffe554d462ad0df3e99a23d49c,Piasentin  TG12206600080S,,Piasentin  TG12206600080S,Tesla,PowerWall 2 (3012170-05-C),25.42.1 1d1ff4c6,,486a838fd7484854eb412845a908d77f,"[['powerwall', '1232100-00-H--GF2220690001PZ_TG12206600080S']]",['01KA6R529MNWE6V1W97KEEMRVG'],
1db55af9de232e6aad50ea8469754a19,Giovani iPhone ,,Giovani iPhone ,Apple,"iPhone17,1",26.2.1,,,"[['mobile_app', '123BDAAC-B54A-4370-B358-F9E319470438']]",['01KAAMMRGDT3H0GZ74AJWXVAAZ'],
c928961a4141c228b746441807dc7f3f,master,,master,Sensibo,airq,SKY40148,esp32,,"[['sensibo', 'dYs3oJtV']]",['01K98HPMTFG3B78RPPP9Y7KW94'],
e768e1131b18eea9679fdfa93e3ca409,office,,office,Sensibo,airq,SKY40148,esp32,,"[['sensibo', 'WjEyr8t6']]",['01K98HPMTFG3B78RPPP9Y7KW94'],
6f17f4b14026082805704b1af7916738,upper guest,,upper guest,Sensibo,airq,SKY40148,esp32,,"[['sensibo', '5r7nggVe']]",['01K98HPMTFG3B78RPPP9Y7KW94'],
c65ddf5753097c50e04de55f0c4ebf55,Z1 - north first floor bedroom and bath and entry,,Z1 - north first floor bedroom and bath and entry,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:78']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
67af4ff474ef39d45f30eb7044a01fda,Garage Zooz plug,,Garage Zooz plug,Hubitat,Zooz ZEN14 Double Outdoor Plug,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:66']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
9d8673f9d8728e7dc4557897dee984b6,Switch Binary [da6cf451000e00] - Switch 1,,Switch Binary [da6cf451000e00] - Switch 1,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:67']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
c41fea5c2ca3bfc8dd3f3e89acc3536e,Switch Binary [da6cf451000e00] - Switch 2,,Switch Binary [da6cf451000e00] - Switch 2,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:68']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
0dc834d96e7ad65ab6b4f51090053ef1,ZoneV789,,ZoneV789,Hubitat,Shelly Wave PRO 3,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:69']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
293cdf7cfc001df6611c8de76326e8c7,Z7 - basement kitchen and tv area,,Z7 - basement kitchen and tv area,Hubitat,Generic Component Switch,,,f420792fd49aeb822e4cf2c85875f142,"[['hubitat', '3f7f484d:70']]",['01K9666EJ8NR5PYBK9FCK1MEKA'],
